Event,Sport,Slug
Swimming Women's 200 metres Freestyle,Swimming,swimming-women-s-200-metres-freestyle
Swimming Women's 400 metres Freestyle,Swimming,swimming-women-s-400-metres-freestyle
Swimming Women's 200 metres Individual Medley,Swimming,swimming-women-s-200-metres-individual-medley
Sailing Men's Windsurfer,Sailing,sailing-men-s-windsurfer
Freestyle Skiing Men's Slopestyle,Freestyle Skiing,freestyle-skiing-men-s-slopestyle
"Shooting Men's Running Target, Single Shot",Shooting,shooting-men-s-running-target-single-shot
"Shooting Men's Running Target, Double Shot",Shooting,shooting-men-s-running-target-double-shot
Rugby Sevens Men's Rugby Sevens,Rugby Sevens,rugby-sevens-men-s-rugby-sevens
"Wrestling Women's Lightweight, Freestyle",Wrestling,wrestling-women-s-lightweight-freestyle
Modern Pentathlon Women's Individual,Modern Pentathlon,modern-pentathlon-women-s-individual
"Canoeing Men's Canadian Doubles, Slalom",Canoeing,canoeing-men-s-canadian-doubles-slalom
Judo Women's Half-Lightweight,Judo,judo-women-s-half-lightweight
Diving Women's Plain High,Diving,diving-women-s-plain-high
"Equestrianism Men's Dressage, Individual",Equestrianism,equestrianism-men-s-dressage-individual
"Equestrianism Men's Dressage, Team",Equestrianism,equestrianism-men-s-dressage-team
"Tennis Women's Singles, Covered Courts",Tennis,tennis-women-s-singles-covered-courts
Diving Men's Plain High,Diving,diving-men-s-plain-high
"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Shooting,shooting-mixed-small-bore-rifle-three-positions-50-metres
"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",Shooting,shooting-mixed-small-bore-rifle-prone-50-metres
Swimming Women's 800 metres Freestyle,Swimming,swimming-women-s-800-metres-freestyle
Sailing Women's Two Person Dinghy,Sailing,sailing-women-s-two-person-dinghy
Alpine Skiing Women's Downhill,Alpine Skiing,alpine-skiing-women-s-downhill
"Shooting Men's Free Pistol, 50 metres, Team",Shooting,shooting-men-s-free-pistol-50-metres-team
"Shooting Men's Free Rifle, Three Positions, 300 metres, Team",Shooting,shooting-men-s-free-rifle-three-positions-300-metres-team
"Shooting Men's Military Rifle, Prone, 300 metres, Team",Shooting,shooting-men-s-military-rifle-prone-300-metres-team
"Shooting Men's Military Rifle, Prone, 600 metres, Team",Shooting,shooting-men-s-military-rifle-prone-600-metres-team
"Shooting Men's Military Rifle, Standing, 300 metres, Team",Shooting,shooting-men-s-military-rifle-standing-300-metres-team
"Shooting Men's Free Rifle, Prone, 600 metres",Shooting,shooting-men-s-free-rifle-prone-600-metres
"Shooting Men's Free Rifle, 400, 600 and 800 metres, Team",Shooting,shooting-men-s-free-rifle-400-600-and-800-metres-team
Rowing Men's Single Sculls,Rowing,rowing-men-s-single-sculls
"Cycling Men's Tandem Sprint, 2,000 metres",Cycling,cycling-men-s-tandem-sprint-2000-metres
Freestyle Skiing Women's Halfpipe,Freestyle Skiing,freestyle-skiing-women-s-halfpipe
Athletics Women's Heptathlon,Athletics,athletics-women-s-heptathlon
Cycling Men's Points Race,Cycling,cycling-men-s-points-race
Synchronized Swimming Women's Solo,Synchronized Swimming,synchronized-swimming-women-s-solo
"Equestrianism Mixed Dressage, Individual",Equestrianism,equestrianism-mixed-dressage-individual
"Equestrianism Mixed Dressage, Team",Equestrianism,equestrianism-mixed-dressage-team
Cross Country Skiing Men's 18 kilometres,Cross Country Skiing,cross-country-skiing-men-s-18-kilometres
Swimming Men's 100 metres Breaststroke,Swimming,swimming-men-s-100-metres-breaststroke
Figure Skating Mixed Ice Dancing,Figure Skating,figure-skating-mixed-ice-dancing
"Shooting Mixed Free Pistol, 50 metres",Shooting,shooting-mixed-free-pistol-50-metres
Sailing Women's Skiff,Sailing,sailing-women-s-skiff
"Canoeing Men's Kayak Doubles, 10,000 metres",Canoeing,canoeing-men-s-kayak-doubles-10000-metres
Triathlon Men's Olympic Distance,Triathlon,triathlon-men-s-olympic-distance
Sailing Women's One Person Dinghy,Sailing,sailing-women-s-one-person-dinghy
Cross Country Skiing Women's 30 kilometres,Cross Country Skiing,cross-country-skiing-women-s-30-kilometres
Cross Country Skiing Women's 15 km Skiathlon,Cross Country Skiing,cross-country-skiing-women-s-15-km-skiathlon
Rowing Men's 17-Man Naval Rowing Boats,Rowing,rowing-men-s-17-man-naval-rowing-boats
Beach Volleyball Women's Beach Volleyball,Beach Volleyball,beach-volleyball-women-s-beach-volleyball
Weightlifting Men's Super-Heavyweight,Weightlifting,weightlifting-men-s-super-heavyweight
Rowing Men's Lightweight Coxless Fours,Rowing,rowing-men-s-lightweight-coxless-fours
"Wrestling Men's Light-Flyweight, Greco-Roman",Wrestling,wrestling-men-s-light-flyweight-greco-roman
"Canoeing Men's Canadian Singles, 1,000 metres",Canoeing,canoeing-men-s-canadian-singles-1000-metres
Sailing Mixed 5.5 metres,Sailing,sailing-mixed-5-5-metres
"Equestrianism Mixed Jumping, Team",Equestrianism,equestrianism-mixed-jumping-team
Diving Men's Synchronized Platform,Diving,diving-men-s-synchronized-platform
Snowboarding Men's Halfpipe,Snowboarding,snowboarding-men-s-halfpipe
"Canoeing Women's Kayak Singles, Slalom",Canoeing,canoeing-women-s-kayak-singles-slalom
Weightlifting Women's Flyweight,Weightlifting,weightlifting-women-s-flyweight
Swimming Women's 100 metres Breaststroke,Swimming,swimming-women-s-100-metres-breaststroke
Swimming Women's 200 metres Breaststroke,Swimming,swimming-women-s-200-metres-breaststroke
"Wrestling Men's Middleweight B, Greco-Roman",Wrestling,wrestling-men-s-middleweight-b-greco-roman
Athletics Men's Stone Throw,Athletics,athletics-men-s-stone-throw
"Athletics Men's Javelin Throw, Freestyle",Athletics,athletics-men-s-javelin-throw-freestyle
Athletics Men's Pentathlon (Ancient),Athletics,athletics-men-s-pentathlon-ancient
"Shooting Women's Small-Bore Rifle, Three Positions, 50 metres",Shooting,shooting-women-s-small-bore-rifle-three-positions-50-metres
Swimming Women's 100 metres Butterfly,Swimming,swimming-women-s-100-metres-butterfly
Weightlifting Men's Heavyweight I,Weightlifting,weightlifting-men-s-heavyweight-i
"Athletics Women's 3,000 metres Steeplechase",Athletics,athletics-women-s-3000-metres-steeplechase
"Athletics Men's Shot Put, Both Hands",Athletics,athletics-men-s-shot-put-both-hands
"Ski Jumping Men's Large Hill, Individual",Ski Jumping,ski-jumping-men-s-large-hill-individual
"Ski Jumping Men's Large Hill, Team",Ski Jumping,ski-jumping-men-s-large-hill-team
Shooting Women's Trap,Shooting,shooting-women-s-trap
Badminton Men's Doubles,Badminton,badminton-men-s-doubles
Swimming Women's 4 x 200 metres Freestyle Relay,Swimming,swimming-women-s-4-x-200-metres-freestyle-relay
Athletics Men's 10 kilometres Walk,Athletics,athletics-men-s-10-kilometres-walk
Athletics Women's 20 kilometres Walk,Athletics,athletics-women-s-20-kilometres-walk
Athletics Women's 80 metres Hurdles,Athletics,athletics-women-s-80-metres-hurdles
Sailing Men's One Person Heavyweight Dinghy,Sailing,sailing-men-s-one-person-heavyweight-dinghy
Freestyle Skiing Women's Aerials,Freestyle Skiing,freestyle-skiing-women-s-aerials
"Art Competitions Mixed Painting, Paintings",Art Competitions,art-competitions-mixed-painting-paintings
"Tennis Mixed Doubles, Covered Courts",Tennis,tennis-mixed-doubles-covered-courts
Cycling Men's Madison,Cycling,cycling-men-s-madison
"Art Competitions Mixed Sculpturing, Statues",Art Competitions,art-competitions-mixed-sculpturing-statues
Rugby Men's Rugby,Rugby,rugby-men-s-rugby
Weightlifting Men's Heavyweight II,Weightlifting,weightlifting-men-s-heavyweight-ii
"Canoeing Women's Kayak Doubles, 500 metres",Canoeing,canoeing-women-s-kayak-doubles-500-metres
"Short Track Speed Skating Men's 5,000 metres Relay",Short Track Speed Skating,short-track-speed-skating-men-s-5000-metres-relay
Cycling Men's Individual Time Trial,Cycling,cycling-men-s-individual-time-trial
Judo Women's Heavyweight,Judo,judo-women-s-heavyweight
"Canoeing Men's Kayak Doubles, 1,000 metres",Canoeing,canoeing-men-s-kayak-doubles-1000-metres
"Gymnastics Men's Individual All-Around, 5 Events",Gymnastics,gymnastics-men-s-individual-all-around-5-events
"Wrestling Men's Super-Heavyweight, Freestyle",Wrestling,wrestling-men-s-super-heavyweight-freestyle
Biathlon Women's 10 kilometres Pursuit,Biathlon,biathlon-women-s-10-kilometres-pursuit
Biathlon Women's 12.5 kilometres Mass Start,Biathlon,biathlon-women-s-12-5-kilometres-mass-start
Biathlon Women's 4 x 6 kilometres Relay,Biathlon,biathlon-women-s-4-x-6-kilometres-relay
"Fencing Women's Sabre, Team",Fencing,fencing-women-s-sabre-team
Shooting Men's Double Trap,Shooting,shooting-men-s-double-trap
Weightlifting Men's Bantamweight,Weightlifting,weightlifting-men-s-bantamweight
Taekwondo Men's Heavyweight,Taekwondo,taekwondo-men-s-heavyweight
Sailing Mixed Windsurfer,Sailing,sailing-mixed-windsurfer
Taekwondo Women's Welterweight,Taekwondo,taekwondo-women-s-welterweight
"Shooting Mixed Free Rifle, Three Positions, 300 metres",Shooting,shooting-mixed-free-rifle-three-positions-300-metres
Skeleton Men's Skeleton,Skeleton,skeleton-men-s-skeleton
Cycling Men's 50 kilometres,Cycling,cycling-men-s-50-kilometres
"Shooting Mixed Rapid-Fire Pistol, 25 metres",Shooting,shooting-mixed-rapid-fire-pistol-25-metres
Cycling Men's 333 metres Time Trial,Cycling,cycling-men-s-333-metres-time-trial
Cycling Men's 20 kilometres,Cycling,cycling-men-s-20-kilometres
"Canoeing Men's Kayak Singles, 10,000 metres",Canoeing,canoeing-men-s-kayak-singles-10000-metres
Sailing Mixed Open,Sailing,sailing-mixed-open
Sailing Mixed 1-2 Ton,Sailing,sailing-mixed-1-2-ton
"Canoeing Men's Canadian Singles, Slalom",Canoeing,canoeing-men-s-canadian-singles-slalom
Luge Men's Singles,Luge,luge-men-s-singles
Luge Mixed (Men)'s Doubles,Luge,luge-mixed-men-s-doubles
Sailing Mixed Multihull,Sailing,sailing-mixed-multihull
Badminton Women's Doubles,Badminton,badminton-women-s-doubles
"Speed Skating Women's 3,000 metres",Speed Skating,speed-skating-women-s-3000-metres
Cross Country Skiing Women's 5/10 kilometres Pursuit,Cross Country Skiing,cross-country-skiing-women-s-5-10-kilometres-pursuit
Cross Country Skiing Women's 4 x 5 kilometres Relay,Cross Country Skiing,cross-country-skiing-women-s-4-x-5-kilometres-relay
Cross Country Skiing Women's 15 kilometres,Cross Country Skiing,cross-country-skiing-women-s-15-kilometres
Cross Country Skiing Women's 5/5 kilometres Pursuit,Cross Country Skiing,cross-country-skiing-women-s-5-5-kilometres-pursuit
Diving Women's Synchronized Platform,Diving,diving-women-s-synchronized-platform
Athletics Women's Triple Jump,Athletics,athletics-women-s-triple-jump
Skeleton Women's Skeleton,Skeleton,skeleton-women-s-skeleton
Bobsleigh Men's Four/Five,Bobsleigh,bobsleigh-men-s-four-five
"Art Competitions Mixed Painting, Drawings And Water Colors",Art Competitions,art-competitions-mixed-painting-drawings-and-water-colors
"Shooting Men's Dueling Pistol, 30 metres",Shooting,shooting-men-s-dueling-pistol-30-metres
Boxing Women's Lightweight,Boxing,boxing-women-s-lightweight
Cycling Women's BMX,Cycling,cycling-women-s-bmx
"Canoeing Men's Kayak Doubles, 200 metres",Canoeing,canoeing-men-s-kayak-doubles-200-metres
"Fencing Men's Sabre, Masters, Individual",Fencing,fencing-men-s-sabre-masters-individual
Lacrosse Men's Lacrosse,Lacrosse,lacrosse-men-s-lacrosse
"Canoeing Women's Kayak Singles, 500 metres",Canoeing,canoeing-women-s-kayak-singles-500-metres
Athletics Women's 10 kilometres Walk,Athletics,athletics-women-s-10-kilometres-walk
Sailing Mixed 12 metres,Sailing,sailing-mixed-12-metres
Judo Women's Extra-Lightweight,Judo,judo-women-s-extra-lightweight
Diving Men's Synchronized Springboard,Diving,diving-men-s-synchronized-springboard
"Rowing Men's Coxed Fours, Outriggers",Rowing,rowing-men-s-coxed-fours-outriggers
Gymnastics Men's Rope Climbing,Gymnastics,gymnastics-men-s-rope-climbing
Sailing Mixed Two Person Dinghy,Sailing,sailing-mixed-two-person-dinghy
"Art Competitions Mixed Architecture, Unknown Event",Art Competitions,art-competitions-mixed-architecture-unknown-event
"Archery Men's Target Archery, 28 metres, Team",Archery,archery-men-s-target-archery-28-metres-team
"Archery Men's Target Archery, 33 metres, Team",Archery,archery-men-s-target-archery-33-metres-team
"Archery Men's Target Archery, 50 metres, Team",Archery,archery-men-s-target-archery-50-metres-team
"Short Track Speed Skating Women's 3,000 metres Relay",Short Track Speed Skating,short-track-speed-skating-women-s-3000-metres-relay
Freestyle Skiing Women's Moguls,Freestyle Skiing,freestyle-skiing-women-s-moguls
Short Track Speed Skating Men's 500 metres,Short Track Speed Skating,short-track-speed-skating-men-s-500-metres
"Shooting Men's Running Target, 10 metres",Shooting,shooting-men-s-running-target-10-metres
Polo Men's Polo,Polo,polo-men-s-polo
"Rowing Men's Coxed Fours, Inriggers",Rowing,rowing-men-s-coxed-fours-inriggers
Cycling Men's BMX,Cycling,cycling-men-s-bmx
Art Competitions Mixed Sculpturing,Art Competitions,art-competitions-mixed-sculpturing
"Athletics Men's Cross-Country, Individual",Athletics,athletics-men-s-cross-country-individual
"Athletics Men's Cross-Country, Team",Athletics,athletics-men-s-cross-country-team
Sailing Mixed 40 metres,Sailing,sailing-mixed-40-metres
Cross Country Skiing Men's 10/10 kilometres Pursuit,Cross Country Skiing,cross-country-skiing-men-s-10-10-kilometres-pursuit
"Ski Jumping Women's Normal Hill, Individual",Ski Jumping,ski-jumping-women-s-normal-hill-individual
"Short Track Speed Skating Men's 1,000 metres",Short Track Speed Skating,short-track-speed-skating-men-s-1000-metres
"Short Track Speed Skating Men's 1,500 metres",Short Track Speed Skating,short-track-speed-skating-men-s-1500-metres
Gymnastics Men's Club Swinging,Gymnastics,gymnastics-men-s-club-swinging
Tennis Women's Singles,Tennis,tennis-women-s-singles
Tennis Mixed Doubles,Tennis,tennis-mixed-doubles
Tennis Women's Doubles,Tennis,tennis-women-s-doubles
Judo Women's Middleweight,Judo,judo-women-s-middleweight
Judo Women's Lightweight,Judo,judo-women-s-lightweight
Cross Country Skiing Men's Team Sprint,Cross Country Skiing,cross-country-skiing-men-s-team-sprint
Snowboarding Women's Halfpipe,Snowboarding,snowboarding-women-s-halfpipe
"Canoeing Women's Kayak Singles, 200 metres",Canoeing,canoeing-women-s-kayak-singles-200-metres
Canoeing Men's Kayak Relay 4 x 500 metres,Canoeing,canoeing-men-s-kayak-relay-4-x-500-metres
"Athletics Men's 3,000 metres, Team",Athletics,athletics-men-s-3000-metres-team
Cross Country Skiing Women's Sprint,Cross Country Skiing,cross-country-skiing-women-s-sprint
"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",Shooting,shooting-men-s-small-bore-rifle-prone-50-and-100-yards
"Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",Shooting,shooting-men-s-small-bore-rifle-50-and-100-yards-team
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 yards",Shooting,shooting-men-s-small-bore-rifle-disappearing-target-25-yards
"Shooting Men's Small-Bore Rifle, Moving Target, 25 yards",Shooting,shooting-men-s-small-bore-rifle-moving-target-25-yards
"Shooting Men's Military Pistol, Team",Shooting,shooting-men-s-military-pistol-team
Rowing Women's Coxed Fours,Rowing,rowing-women-s-coxed-fours
"Weightlifting Men's Unlimited, One Hand",Weightlifting,weightlifting-men-s-unlimited-one-hand
"Canoeing Men's Canadian Singles, 500 metres",Canoeing,canoeing-men-s-canadian-singles-500-metres
"Fencing Men's Foil, Masters, Individual",Fencing,fencing-men-s-foil-masters-individual
"Fencing Men's epee, Masters, Individual",Fencing,fencing-men-s-epee-masters-individual
"Gymnastics Men's Individual All-Around, Field Sports",Gymnastics,gymnastics-men-s-individual-all-around-field-sports
"Gymnastics Men's Individual All-Around, Apparatus Work",Gymnastics,gymnastics-men-s-individual-all-around-apparatus-work
"Art Competitions Mixed Music, Compositions For Solo Or Chorus",Art Competitions,art-competitions-mixed-music-compositions-for-solo-or-chorus
"Fencing Women's epee, Team",Fencing,fencing-women-s-epee-team
"Swimming Men's 4,000 metres Freestyle",Swimming,swimming-men-s-4000-metres-freestyle
Swimming Men's Underwater Swimming,Swimming,swimming-men-s-underwater-swimming
Sailing Mixed Skiff,Sailing,sailing-mixed-skiff
"Shooting Men's Military Rifle, 200/500/600/800/900/1,000 Yards, Team",Shooting,shooting-men-s-military-rifle-200-500-600-800-900-1000-yards-team
"Shooting Men's Running Target, Single And Double Shot",Shooting,shooting-men-s-running-target-single-and-double-shot
"Shooting Men's Small-Bore Rifle, Any Position, 50 metres",Shooting,shooting-men-s-small-bore-rifle-any-position-50-metres
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres",Shooting,shooting-men-s-small-bore-rifle-disappearing-target-25-metres
Swimming Women's 10 kilometres Open Water,Swimming,swimming-women-s-10-kilometres-open-water
Snowboarding Women's Slopestyle,Snowboarding,snowboarding-women-s-slopestyle
Snowboarding Men's Giant Slalom,Snowboarding,snowboarding-men-s-giant-slalom
Snowboarding Men's Parallel Giant Slalom,Snowboarding,snowboarding-men-s-parallel-giant-slalom
Snowboarding Men's Boardercross,Snowboarding,snowboarding-men-s-boardercross
Snowboarding Men's Parallel Slalom,Snowboarding,snowboarding-men-s-parallel-slalom
"Cycling Men's Team Pursuit, 1,980 yards",Cycling,cycling-men-s-team-pursuit-1980-yards
"Cycling Men's 5,000 metres",Cycling,cycling-men-s-5000-metres
Cycling Men's 100 kilometres,Cycling,cycling-men-s-100-kilometres
Cricket Men's Cricket,Cricket,cricket-men-s-cricket
"Canoeing Men's Canadian Singles, 10,000 metres",Canoeing,canoeing-men-s-canadian-singles-10000-metres
Cross Country Skiing Women's Team Sprint,Cross Country Skiing,cross-country-skiing-women-s-team-sprint
Boxing Women's Middleweight,Boxing,boxing-women-s-middleweight
Sailing Men's Skiff,Sailing,sailing-men-s-skiff
Athletics Men's Pentathlon,Athletics,athletics-men-s-pentathlon
"Swimming Men's 1,200 metres Freestyle",Swimming,swimming-men-s-1200-metres-freestyle
Shooting Women's Skeet,Shooting,shooting-women-s-skeet
Biathlon Men's 15 kilometres Mass Start,Biathlon,biathlon-men-s-15-kilometres-mass-start
Cross Country Skiing Men's 30 km Skiathlon,Cross Country Skiing,cross-country-skiing-men-s-30-km-skiathlon
Cycling Men's 1/4 mile,Cycling,cycling-men-s-1-4-mile
Cycling Men's 1/2 mile,Cycling,cycling-men-s-1-2-mile
Cycling Men's 5 mile,Cycling,cycling-men-s-5-mile
Cycling Men's 25 mile,Cycling,cycling-men-s-25-mile
"Shooting Men's Small-Bore Rifle, Standing, 50 metres",Shooting,shooting-men-s-small-bore-rifle-standing-50-metres
"Shooting Men's Small Bore-Rifle, Standing, 50 metres, Team",Shooting,shooting-men-s-small-bore-rifle-standing-50-metres-team
Speed Skating Men's Team Pursuit (8 laps),Speed Skating,speed-skating-men-s-team-pursuit-8-laps
"Shooting Men's Free Rifle, 1,000 Yards",Shooting,shooting-men-s-free-rifle-1000-yards
Cycling Women's Team Pursuit,Cycling,cycling-women-s-team-pursuit
"Speed Skating Women's 5,000 metres",Speed Skating,speed-skating-women-s-5000-metres
"Athletics Men's 3,000 metres Walk",Athletics,athletics-men-s-3000-metres-walk
Snowboarding Women's Boardercross,Snowboarding,snowboarding-women-s-boardercross
"Shooting Mixed Running Target, 50 metres",Shooting,shooting-mixed-running-target-50-metres
Luge Mixed Team Relay,Luge,luge-mixed-team-relay
Cycling Women's Individual Time Trial,Cycling,cycling-women-s-individual-time-trial
"Fencing Women's Sabre, Individual",Fencing,fencing-women-s-sabre-individual
"Fencing Men's Sabre, Individual, Three Hits",Fencing,fencing-men-s-sabre-individual-three-hits
Archery Women's Double National Round,Archery,archery-women-s-double-national-round
Cycling Men's Omnium,Cycling,cycling-men-s-omnium
Equestrianism Mixed Hacks And Hunter Combined,Equestrianism,equestrianism-mixed-hacks-and-hunter-combined
Sailing Mixed 10 metres,Sailing,sailing-mixed-10-metres
"Shooting Men's Trap, Team",Shooting,shooting-men-s-trap-team
"Cycling Women's Individual Pursuit, 3,000 metres",Cycling,cycling-women-s-individual-pursuit-3000-metres
Cycling Women's Points Race,Cycling,cycling-women-s-points-race
Sailing Men's Two Person Keelboat,Sailing,sailing-men-s-two-person-keelboat
Cycling Men's Keirin,Cycling,cycling-men-s-keirin
Cycling Men's Team Sprint,Cycling,cycling-men-s-team-sprint
Athletics Men's 5 mile,Athletics,athletics-men-s-5-mile
"Shooting Men's Running Target, Single Shot, Team",Shooting,shooting-men-s-running-target-single-shot-team
Bobsleigh Women's Two,Bobsleigh,bobsleigh-women-s-two
Racquets Men's Singles,Racquets,racquets-men-s-singles
Racquets Men's Doubles,Racquets,racquets-men-s-doubles
"Art Competitions Mixed Literature, Lyric Works",Art Competitions,art-competitions-mixed-literature-lyric-works
Motorboating Mixed A-Class (Open),Motorboating,motorboating-mixed-a-class-open
Archery Men's Continental Style,Archery,archery-men-s-continental-style
Military Ski Patrol Men's Military Ski Patrol,Military Ski Patrol,military-ski-patrol-men-s-military-ski-patrol
"Art Competitions Mixed Painting, Graphic Arts",Art Competitions,art-competitions-mixed-painting-graphic-arts
"Wrestling Women's Flyweight, Freestyle",Wrestling,wrestling-women-s-flyweight-freestyle
"Art Competitions Mixed Literature, Unknown Event",Art Competitions,art-competitions-mixed-literature-unknown-event
Sailing Mixed 0.5-1 Ton,Sailing,sailing-mixed-0-5-1-ton
"Art Competitions Mixed Painting, Applied Arts",Art Competitions,art-competitions-mixed-painting-applied-arts
"Croquet Mixed Singles, One Ball",Croquet,croquet-mixed-singles-one-ball
Croquet Mixed Doubles,Croquet,croquet-mixed-doubles
"Shooting Men's Running Target, Double Shot, Team",Shooting,shooting-men-s-running-target-double-shot-team
"Shooting Men's Free Pistol, 50 yards",Shooting,shooting-men-s-free-pistol-50-yards
"Shooting Men's Free Pistol, 50 yards, Team",Shooting,shooting-men-s-free-pistol-50-yards-team
"Fencing Men's epee, Masters and Amateurs, Individual",Fencing,fencing-men-s-epee-masters-and-amateurs-individual
Swimming Men's 10 kilometres Open Water,Swimming,swimming-men-s-10-kilometres-open-water
"Art Competitions Mixed Music, Compositions For Orchestra",Art Competitions,art-competitions-mixed-music-compositions-for-orchestra
Archery Men's Double York Round,Archery,archery-men-s-double-york-round
"Wrestling Women's Middleweight, Freestyle",Wrestling,wrestling-women-s-middleweight-freestyle
"Equestrianism Men's Vaulting, Individual",Equestrianism,equestrianism-men-s-vaulting-individual
Swimming Men's 4 x 250 metres Freestyle Relay,Swimming,swimming-men-s-4-x-250-metres-freestyle-relay
Freestyle Skiing Women's Slopestyle,Freestyle Skiing,freestyle-skiing-women-s-slopestyle
Table Tennis Women's Team,Table Tennis,table-tennis-women-s-team
Athletics Women's Hammer Throw,Athletics,athletics-women-s-hammer-throw
"Canoeing Men's Kayak Singles, 200 metres",Canoeing,canoeing-men-s-kayak-singles-200-metres
Short Track Speed Skating Women's 500 metres,Short Track Speed Skating,short-track-speed-skating-women-s-500-metres
Shooting Women's Double Trap,Shooting,shooting-women-s-double-trap
Rowing Men's 6-Man Naval Rowing Boats,Rowing,rowing-men-s-6-man-naval-rowing-boats
Art Competitions Mixed Music,Art Competitions,art-competitions-mixed-music
"Shooting Men's Free Rifle, Kneeling, 300 metres",Shooting,shooting-men-s-free-rifle-kneeling-300-metres
"Shooting Men's Free Rifle, Prone, 300 metres",Shooting,shooting-men-s-free-rifle-prone-300-metres
"Shooting Men's Free Rifle, Standing, 300 metres",Shooting,shooting-men-s-free-rifle-standing-300-metres
"Short Track Speed Skating Women's 1,000 metres",Short Track Speed Skating,short-track-speed-skating-women-s-1000-metres
"Athletics Men's 3,200 metres Steeplechase",Athletics,athletics-men-s-3200-metres-steeplechase
Rowing Women's Coxless Fours,Rowing,rowing-women-s-coxless-fours
Freestyle Skiing Women's Ski Cross,Freestyle Skiing,freestyle-skiing-women-s-ski-cross
Freestyle Skiing Men's Ski Cross,Freestyle Skiing,freestyle-skiing-men-s-ski-cross
"Tennis Men's Doubles, Covered Courts",Tennis,tennis-men-s-doubles-covered-courts
"Tennis Men's Singles, Covered Courts",Tennis,tennis-men-s-singles-covered-courts
Cycling Men's 25 kilometres,Cycling,cycling-men-s-25-kilometres
"Nordic Combined Men's Normal Hill / 10 km, Individual",Nordic Combined,nordic-combined-men-s-normal-hill-10-km-individual
"Nordic Combined Men's Large Hill / 10 km, Individual",Nordic Combined,nordic-combined-men-s-large-hill-10-km-individual
"Shooting Men's Military Rifle, 200 metres",Shooting,shooting-men-s-military-rifle-200-metres
"Short Track Speed Skating Women's 1,500 metres",Short Track Speed Skating,short-track-speed-skating-women-s-1500-metres
Athletics Men's Standing Triple Jump,Athletics,athletics-men-s-standing-triple-jump
Rowing Men's Coxed Pairs (1 kilometres),Rowing,rowing-men-s-coxed-pairs-1-kilometres
"Shooting Men's Military Pistol, 30 metres",Shooting,shooting-men-s-military-pistol-30-metres
Cycling Women's Keirin,Cycling,cycling-women-s-keirin
"Archery Men's Au Cordon Dore, 50 metres",Archery,archery-men-s-au-cordon-dore-50-metres
Swimming Women's 300 metres Freestyle,Swimming,swimming-women-s-300-metres-freestyle
Snowboarding Women's Giant Slalom,Snowboarding,snowboarding-women-s-giant-slalom
"Canoeing Men's Canadian Singles, 200 metres",Canoeing,canoeing-men-s-canadian-singles-200-metres
Sailing Mixed 30 metres,Sailing,sailing-mixed-30-metres
"Athletics Men's 4,000 metres Steeplechase",Athletics,athletics-men-s-4000-metres-steeplechase
"Athletics Men's 5,000 metres, Team",Athletics,athletics-men-s-5000-metres-team
Snowboarding Men's Slopestyle,Snowboarding,snowboarding-men-s-slopestyle
Rowing Men's Coxed Pairs (1 mile),Rowing,rowing-men-s-coxed-pairs-1-mile
Art Competitions Mixed Unknown Event,Art Competitions,art-competitions-mixed-unknown-event
Cycling Women's Omnium,Cycling,cycling-women-s-omnium
Freestyle Skiing Men's Halfpipe,Freestyle Skiing,freestyle-skiing-men-s-halfpipe
Swimming Men's 200 metres Obstacle Course,Swimming,swimming-men-s-200-metres-obstacle-course
Swimming Men's 200 metres Team Swimming,Swimming,swimming-men-s-200-metres-team-swimming
Sailing Mixed 12 foot,Sailing,sailing-mixed-12-foot
"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions,art-competitions-mixed-music-instrumental-and-chamber
"Art Competitions Mixed Music, Vocals",Art Competitions,art-competitions-mixed-music-vocals
"Art Competitions Mixed Literature, Dramatic Works",Art Competitions,art-competitions-mixed-literature-dramatic-works
Jeu De Paume Men's Singles,Jeu De Paume,jeu-de-paume-men-s-singles
Sailing Mixed 10-20 Ton,Sailing,sailing-mixed-10-20-ton
Cycling Men's 1/3 mile,Cycling,cycling-men-s-1-3-mile
Cycling Men's 1 mile,Cycling,cycling-men-s-1-mile
Cycling Men's 2 mile,Cycling,cycling-men-s-2-mile
"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions,art-competitions-mixed-sculpturing-medals-and-plaques
"Athletics Men's 1,600 metres Medley Relay",Athletics,athletics-men-s-1600-metres-medley-relay
"Croquet Mixed Singles, Two Balls",Croquet,croquet-mixed-singles-two-balls
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Canoeing,canoeing-men-s-folding-kayak-doubles-10-kilometres
Athletics Men's 60 metres,Athletics,athletics-men-s-60-metres
Snowboarding Women's Parallel Giant Slalom,Snowboarding,snowboarding-women-s-parallel-giant-slalom
Sailing Mixed 2-3 Ton,Sailing,sailing-mixed-2-3-ton
Speed Skating Men's Allround,Speed Skating,speed-skating-men-s-allround
"Shooting Men's Military Rifle, Prone, 600 metres",Shooting,shooting-men-s-military-rifle-prone-600-metres
